# FOF_ID M_FOF[10^10 Msun/h] Vmax [km/s] Pos_xyz [kpc/h] Vel_xyz [km/s]
2740 1487.097290 319.840179 147038.765625 87512.234375 26174.263672 -289.319397 -183.035812 -511.868805
3525 831.963501 272.576569 131225.484375 15491.689453 189678.328125 -218.649429 303.516052 -446.207794
4016 995.533997 270.813751 97655.953125 185337.140625 70256.406250 79.106064 523.496460 -267.628052
4059 939.428101 266.560913 155332.484375 60273.386719 150066.046875 -128.077164 -7.082955 319.392975
2480 1456.943359 385.855896 62198.148438 97220.187500 109506.843750 -217.485214 -173.190536 299.103760
3610 1150.847168 227.136185 77736.687500 74401.835938 83480.000000 -94.871040 -0.825047 -108.187218
4096 1001.164734 391.614441 87620.773438 104295.835938 85470.507812 305.971649 -81.748970 -505.245056
3643 1034.257080 218.781448 51074.773438 68585.226562 202588.687500 392.400726 -516.798096 -179.917740
2915 1313.526733 321.841980 57508.386719 94862.132812 152878.656250 -144.732437 -169.886581 157.455139
3811 1152.397705 232.054504 17307.833984 174109.703125 116994.296875 356.745453 -19.026405 193.418716
3852 603.496826 215.951965 43307.339844 190118.578125 94669.992188 772.511414 -70.586319 -111.900246
4001 914.412170 211.933167 86831.046875 119594.695312 195036.812500 -1185.103027 41.422138 196.784393
3262 1200.445557 298.901215 165443.203125 54798.093750 22613.683594 -264.558319 320.167542 282.928528
3922 1046.375610 228.184006 178454.593750 164023.656250 136230.781250 65.223381 182.323334 144.337051
167 15289.875977 227.910431 131700.281250 51694.843750 30664.546875 -235.934723 -189.910400 -174.267273
3443 663.272827 293.582245 86704.554688 81032.250000 190177.000000 -292.747894 -287.146027 -4.780835
1844 2001.867432 334.713470 111780.562500 30919.205078 166190.500000 141.896332 431.203827 -351.025696
3234 885.424988 264.624115 89436.796875 5477.162109 74149.132812 -515.416809 -208.895142 64.574387
3546 826.526917 237.849045 161844.140625 125412.203125 154305.796875 -184.252197 201.282776 640.120850
3797 1057.249878 272.521454 146156.265625 87116.406250 197700.359375 267.025360 -328.009888 391.238434
2094 1984.968384 324.331635 59834.152344 19831.009766 202946.828125 -126.509354 159.993271 -72.100845
2212 1783.556274 341.931183 50890.593750 97894.867188 87354.671875 135.251663 -158.455582 -25.699753
3268 863.029114 252.318314 100412.046875 17401.455078 31663.595703 114.705933 31.962627 -138.259888
3231 706.800720 257.386169 82355.859375 24064.917969 102873.960938 218.563080 361.061157 684.735657
2432 1730.815063 362.219330 44132.132812 126920.578125 187655.140625 104.406502 -657.387695 -287.144989
3391 1116.353516 289.618073 104538.492188 11363.100586 42791.113281 -103.165657 -82.948891 -65.408455
3411 1067.454468 206.702667 166973.390625 43012.808594 118238.171875 -78.844528 -436.888397 -46.262470
518 6471.440918 234.058640 179890.734375 12311.184570 145452.781250 -73.156784 -91.728981 41.371326
3235 1267.729736 207.836121 195289.140625 58368.695312 58704.351562 -150.955261 -158.250549 -65.853645
1979 1857.493042 402.528320 108308.218750 27952.820312 204068.500000 -2.918768 644.795105 154.575577
2769 1529.051025 305.707428 181139.906250 93795.601562 164048.593750 -70.766502 409.332977 766.952026
2036 2042.359619 352.112091 9912.045898 101767.000000 133539.500000 201.196655 5.560610 309.649963
1863 1638.381958 393.310272 135338.078125 185633.546875 8402.099609 -94.139275 -55.593628 -3.261823
916 4165.747070 311.383026 198552.578125 187790.140625 139588.734375 -205.584991 249.199966 32.258297
3189 853.476013 228.158539 13950.224609 89274.617188 15001.920898 -213.987122 739.895813 -466.071411
1321 2635.067871 365.809814 18724.484375 45026.191406 95302.250000 245.583588 13.577302 211.725693
2524 1194.345459 328.429840 56405.335938 94376.804688 94775.531250 -149.571838 235.160629 -55.542149
1461 1426.324341 384.585510 136971.546875 107592.429688 76195.375000 -42.296448 -151.153534 -7.428001
2339 1457.509155 296.430542 42762.285156 69071.687500 83797.695312 200.212067 -55.585548 358.216248
3163 1332.114868 223.394394 166321.281250 35396.894531 137920.906250 -235.669510 70.251312 123.194702
2966 899.746277 214.059601 101900.976562 22512.501953 198017.343750 -309.207581 444.851166 209.734848
1386 2622.078857 349.434296 50601.011719 138502.484375 5735.764160 281.372864 74.841553 -71.363106
2314 725.906433 265.934967 46337.632812 12586.076172 42822.890625 310.673187 -2.342041 332.499908
1896 1929.424316 319.019684 133416.625000 194535.109375 35171.140625 -502.426941 50.173038 114.282211
2753 1509.741089 281.174744 181809.843750 199122.828125 56079.664062 -126.178238 78.735596 111.666290
2837 1402.373535 338.552551 94942.984375 157741.828125 146648.312500 -446.877563 -337.186157 133.220261
2925 1176.473999 224.965469 108405.484375 32290.945312 179190.937500 72.441994 651.153320 -40.595119
2717 1463.951416 270.626587 52224.820312 158995.593750 53758.605469 -182.803558 -270.939972 -20.629292
2705 1438.681641 227.109207 163057.828125 64796.683594 163778.984375 285.681854 -311.696564 -29.449774
2364 1705.271362 263.085541 192343.015625 124847.851562 192742.906250 307.595825 -636.138916 -309.014496
2388 1691.757812 274.656219 19764.316406 168711.734375 8905.528320 176.258072 386.265594 -147.169830
2841 1274.455200 232.265717 193962.359375 100819.273438 183392.093750 151.853256 660.009583 561.834595
2828 1250.156982 290.954742 57320.589844 44640.472656 3055.411133 278.561737 535.991577 116.530685
1517 2646.438477 339.563324 124370.156250 115705.382812 6053.580566 -30.160587 -250.203461 -239.175797
2847 1450.378174 238.134796 89873.984375 118515.640625 195351.937500 -660.828430 -312.053101 468.774445
2563 1322.318359 234.505646 21494.513672 131180.171875 126426.984375 39.636799 -629.947510 54.044624
698 5404.839844 305.434753 75927.609375 115417.609375 2498.945557 47.278969 -182.048889 -428.930115
2248 1851.635376 299.978180 101537.218750 108907.492188 5743.417480 -201.944260 -229.975784 67.782730
1163 3127.954590 340.437439 136258.000000 164482.421875 55875.613281 -96.319206 -203.134323 120.975021
1596 1837.632935 330.963257 91969.507812 191214.812500 74311.867188 -250.783569 -24.333399 -469.997131
