# FOF_ID M_FOF[10^10 Msun/h] Vmax [km/s] Pos_xyz [kpc/h] Vel_xyz [km/s]
6408 544.795837 633.949829 59934.789062 83239.023438 191935.421875 -64.946068 88.239349 128.906281
3665 1165.823486 543.645081 100478.351562 26329.187500 118145.164062 -256.205292 -124.210770 519.878601
4928 829.594238 563.698608 49366.757812 188093.437500 74621.210938 297.911133 31.109488 -158.387680
5827 698.013184 569.997314 27274.878906 36399.554688 141891.562500 1031.250732 51.688499 -23.057974
4768 806.338074 288.556335 98475.882812 5397.702148 41383.578125 -305.756348 -31.326416 -117.774368
5709 626.333618 531.426270 55510.128906 61130.707031 131003.046875 -183.665741 -182.904343 651.900269
5555 749.979919 583.212646 6438.724609 106730.945312 23996.505859 -112.537460 -81.752937 -510.469727
4005 1063.712036 539.925110 138598.640625 1382.675415 2550.424805 -209.972260 205.713852 -23.711378
4063 969.489502 502.223145 69920.421875 63861.914062 41830.324219 239.047516 -83.749405 175.473648
5158 795.974243 461.191284 99041.296875 65459.382812 196634.531250 434.200867 287.007141 -228.634613
5530 347.271851 591.467102 8451.210938 102985.890625 191104.968750 -417.100861 -144.021545 -300.921509
4842 817.659790 474.820374 14848.291016 11598.144531 135847.203125 254.769241 232.585129 14.963784
4659 817.708740 468.925110 161996.750000 52405.472656 84597.671875 -223.990402 -185.982971 -154.724930
5362 791.608765 523.976257 127851.757812 130851.421875 22719.691406 -338.259033 -223.971024 -81.847221
5294 640.228210 484.406067 196954.203125 183106.984375 86903.828125 37.402252 -0.725107 -61.297668
5187 774.534668 529.963135 105652.757812 191862.890625 158092.953125 -225.162582 342.319305 -311.424194
5444 469.685486 563.542480 67038.171875 41896.214844 155340.234375 -105.701088 374.047302 170.355789
5281 783.986694 565.875793 109752.609375 11177.182617 8187.481445 -168.059769 369.663666 300.038666
4662 855.403931 508.890472 63727.687500 34168.625000 163916.796875 -241.866165 519.088074 -214.137405
5086 765.847900 472.760345 58375.003906 180018.125000 14315.171875 -129.212631 19.609058 173.528366
